date,resting_hr,steps
2024-12-01,61,8648
2024-11-30,NA,6436
2024-11-29,NA,10361
2024-11-28,59,4927
2024-11-27,NA,5505
2024-11-26,NA,5596
2024-11-25,NA,8504
2024-11-24,58,5958
2024-11-23,58,3793
2024-11-22,NA,5913
2024-11-21,59,9340
2024-11-20,59,7895
2024-11-19,NA,8120
2024-11-18,59,4123
2024-11-17,NA,12815
2024-11-16,NA,18713
2024-11-15,61,4807
2024-11-14,61,7812
2024-11-13,61,10459
2024-11-12,61,3785
2024-11-11,62,1697
2024-11-10,63,8433
2024-11-09,64,13802
2024-11-08,64,4785
2024-11-07,63,5577
2024-11-06,64,8004
