time,heart_rate
2024-11-28T08:59:56Z,70
2024-11-28T09:00:06Z,72
2024-11-28T09:00:11Z,82
2024-11-28T09:00:16Z,78
2024-11-28T09:00:26Z,79
2024-11-28T09:00:36Z,82
2024-11-28T09:00:41Z,83
2024-11-28T09:00:46Z,83
2024-11-28T09:01:01Z,89
2024-11-28T09:01:06Z,91
2024-11-28T09:01:11Z,88
2024-11-28T09:01:16Z,84
2024-11-28T09:01:21Z,81
2024-11-28T09:01:26Z,78
2024-11-28T09:01:31Z,74
2024-11-28T09:01:36Z,70
2024-11-28T09:01:51Z,70
2024-11-28T09:02:01Z,74
2024-11-28T09:02:06Z,75
2024-11-28T09:02:16Z,76
2024-11-28T09:02:21Z,77
2024-11-28T09:02:31Z,76
2024-11-28T09:02:36Z,77
2024-11-28T09:02:41Z,76
2024-11-28T09:02:46Z,75
2024-11-28T09:03:01Z,74
2024-11-28T09:03:06Z,73
2024-11-28T09:03:11Z,71
2024-11-28T09:03:16Z,65
2024-11-28T09:03:21Z,56
2024-11-28T09:03:31Z,55
2024-11-28T09:03:46Z,55
2024-11-28T09:03:51Z,54
2024-11-28T09:04:06Z,55
2024-11-28T09:04:11Z,56
2024-11-28T09:04:21Z,57
2024-11-28T09:04:26Z,58
2024-11-28T09:04:31Z,60
2024-11-28T09:04:36Z,61
2024-11-28T09:04:41Z,63
2024-11-28T09:04:46Z,65
2024-11-28T09:04:51Z,66
2024-11-28T09:04:56Z,68
2024-11-28T09:05:02Z,68
2024-11-28T09:05:07Z,69
2024-11-28T09:05:12Z,70
2024-11-28T09:05:17Z,71
2024-11-28T09:05:22Z,73
2024-11-28T09:05:27Z,74
2024-11-28T09:05:37Z,75
2024-11-28T09:05:42Z,76
2024-11-28T09:05:47Z,78
2024-11-28T09:06:02Z,78
2024-11-28T09:06:07Z,78
2024-11-28T09:06:12Z,77
2024-11-28T09:06:17Z,76
2024-11-28T09:06:22Z,77
2024-11-28T09:06:32Z,76
2024-11-28T09:06:37Z,73
2024-11-28T09:06:42Z,67
2024-11-28T09:06:47Z,68
2024-11-28T09:06:52Z,67
2024-11-28T09:07:02Z,68
2024-11-28T09:07:07Z,69
2024-11-28T09:07:12Z,71
2024-11-28T09:07:27Z,72
2024-11-28T09:07:32Z,74
2024-11-28T09:07:37Z,75
2024-11-28T09:07:52Z,76
2024-11-28T09:07:57Z,77
2024-11-28T09:08:02Z,76
2024-11-28T09:08:07Z,75
2024-11-28T09:08:12Z,74
2024-11-28T09:08:22Z,73
2024-11-28T09:08:27Z,71
2024-11-28T09:08:37Z,72
2024-11-28T09:08:47Z,73
2024-11-28T09:08:52Z,74
2024-11-28T09:08:57Z,77
2024-11-28T09:09:02Z,78
2024-11-28T09:09:07Z,80
2024-11-28T09:09:17Z,78
2024-11-28T09:09:27Z,77
2024-11-28T09:09:32Z,76
2024-11-28T09:09:47Z,76
2024-11-28T09:09:52Z,75
2024-11-28T09:10:02Z,74
2024-11-28T09:10:17Z,75
2024-11-28T09:10:27Z,73
2024-11-28T09:10:37Z,72
2024-11-28T09:10:52Z,70
2024-11-28T09:11:07Z,66
2024-11-28T09:11:12Z,61
2024-11-28T09:11:22Z,60
2024-11-28T09:11:32Z,61
2024-11-28T09:11:38Z,61
2024-11-28T09:11:43Z,62
2024-11-28T09:11:53Z,62
2024-11-28T09:11:58Z,61
2024-11-28T09:12:13Z,62
2024-11-28T09:12:28Z,65
2024-11-28T09:12:43Z,67
2024-11-28T09:12:48Z,68
2024-11-28T09:12:58Z,69
2024-11-28T09:13:03Z,68
2024-11-28T09:13:18Z,68
2024-11-28T09:13:28Z,69
2024-11-28T09:13:33Z,71
2024-11-28T09:13:38Z,72
2024-11-28T09:13:43Z,71
2024-11-28T09:13:48Z,66
2024-11-28T09:13:53Z,58
2024-11-28T09:13:58Z,59
2024-11-28T09:14:03Z,60
2024-11-28T09:14:13Z,61
2024-11-28T09:14:18Z,62
2024-11-28T09:14:23Z,63
2024-11-28T09:14:33Z,64
2024-11-28T09:14:38Z,63
2024-11-28T09:14:48Z,62
2024-11-28T09:15:03Z,62
2024-11-28T09:15:08Z,63
2024-11-28T09:15:13Z,63
2024-11-28T09:15:18Z,64
2024-11-28T09:15:23Z,65
2024-11-28T09:15:38Z,68
2024-11-28T09:15:48Z,67
2024-11-28T09:15:53Z,68
2024-11-28T09:16:03Z,69
2024-11-28T09:16:13Z,71
2024-11-28T09:16:18Z,70
2024-11-28T09:16:23Z,71
2024-11-28T09:16:33Z,74
2024-11-28T09:16:38Z,77
2024-11-28T09:16:43Z,80
2024-11-28T09:16:48Z,81
2024-11-28T09:16:53Z,84
2024-11-28T09:16:58Z,85
2024-11-28T09:17:03Z,82
2024-11-28T09:17:08Z,77
2024-11-28T09:17:13Z,74
2024-11-28T09:17:18Z,73
2024-11-28T09:17:28Z,72
2024-11-28T09:17:38Z,70
2024-11-28T09:17:43Z,71
2024-11-28T09:17:48Z,69
2024-11-28T09:17:58Z,68
2024-11-28T09:18:03Z,67
2024-11-28T09:18:08Z,66
2024-11-28T09:18:13Z,65
2024-11-28T09:18:28Z,65
2024-11-28T09:18:38Z,66
2024-11-28T09:18:53Z,67
2024-11-28T09:18:58Z,68
2024-11-28T09:19:13Z,70
2024-11-28T09:19:18Z,72
2024-11-28T09:19:23Z,73
2024-11-28T09:19:28Z,75
2024-11-28T09:19:33Z,76
2024-11-28T09:19:38Z,77
2024-11-28T09:19:43Z,75
2024-11-28T09:19:48Z,74
2024-11-28T09:19:53Z,73
2024-11-28T09:19:58Z,72
2024-11-28T09:20:13Z,71
2024-11-28T09:20:23Z,72
2024-11-28T09:20:33Z,71
2024-11-28T09:20:38Z,70
2024-11-28T09:20:43Z,71
2024-11-28T09:20:53Z,70
2024-11-28T09:21:08Z,71
2024-11-28T09:21:13Z,72
2024-11-28T09:21:18Z,73
2024-11-28T09:21:23Z,74
2024-11-28T09:21:33Z,76
2024-11-28T09:21:38Z,77
2024-11-28T09:21:43Z,77
2024-11-28T09:21:58Z,77
2024-11-28T09:22:03Z,78
2024-11-28T09:22:13Z,79
2024-11-28T09:22:18Z,78
2024-11-28T09:22:23Z,77
2024-11-28T09:22:28Z,76
2024-11-28T09:22:33Z,75
2024-11-28T09:22:48Z,75
2024-11-28T09:23:03Z,76
2024-11-28T09:23:08Z,75
2024-11-28T09:23:23Z,76
2024-11-28T09:23:28Z,77
2024-11-28T09:23:33Z,73
2024-11-28T09:23:38Z,71
2024-11-28T09:23:53Z,70
2024-11-28T09:23:58Z,69
2024-11-28T09:24:03Z,70
2024-11-28T09:24:08Z,72
2024-11-28T09:24:13Z,73
2024-11-28T09:24:18Z,74
