date,steps
2021-12-03,8318
2021-12-04,4088
2021-12-05,3657
2021-12-06,7240
2021-12-07,11934
2021-12-08,6323
2021-12-09,8261
2021-12-10,5024
2021-12-11,10807
2021-12-12,8282
2021-12-13,10966
2021-12-14,7374
2021-12-15,9042
2021-12-16,1945
2021-12-17,7286
2021-12-18,3359
2021-12-19,2520
2021-12-20,1488
2021-12-21,1192
2021-12-22,2187
2021-12-23,2849
2021-12-24,4405
2021-12-25,3077
2021-12-26,6966
2021-12-27,5767
2021-12-28,9774
2021-12-29,6953
2021-12-30,8333
2021-12-31,7340
2022-01-01,7174
2022-01-02,10773
2022-01-03,4277
2022-01-04,11093
2022-01-05,10661
2022-01-06,11650
2022-01-07,10749
2022-01-08,9356
2022-01-09,10112
2022-01-10,9337
2022-01-11,8687
2022-01-12,9736
2022-01-13,12853
2022-01-14,9513
2022-01-15,10002
2022-01-16,7952
2022-01-17,6217
2022-01-18,10358
2022-01-19,8446
2022-01-20,11538
2022-01-21,5668
2022-01-22,7586
2022-01-23,10087
2022-01-24,3267
2022-01-25,3073
2022-01-26,1665
2022-01-27,3313
2022-01-28,2819
2022-01-29,3364
2022-01-30,10117
2022-01-31,5505
2022-02-01,6936
2022-02-02,7842
2022-02-03,10067
2022-02-04,4485
2022-02-05,7113
2022-02-06,8999
2022-02-07,6369
2022-02-08,6169
2022-02-09,6907
2022-02-10,8537
2022-02-11,6951
2022-02-12,12546
2022-02-13,10857
2022-02-14,7557
2022-02-15,7861
2022-02-16,8652
2022-02-17,10195
2022-02-18,6090
2022-02-19,9856
2022-02-20,10900
2022-02-21,11040
2022-02-22,4751
2022-02-23,9574
2022-02-24,6249
2022-02-25,10668
2022-02-26,12382
2022-02-27,8053
2022-02-28,19189
2022-03-01,13908
2022-03-02,11472
2022-03-03,8821
2022-03-04,7713
2022-03-05,8385
2022-03-06,14044
2022-03-07,9405
2022-03-08,9398
2022-03-09,5925
2022-03-10,4562
2022-03-11,7358
2022-03-12,13298
2022-03-13,9051
2022-03-14,10477
2022-03-15,9985
2022-03-16,12905
2022-03-17,9788
2022-03-18,8230
2022-03-19,8916
2022-03-20,7910
2022-03-21,7576
2022-03-22,8376
2022-03-23,6466
2022-03-24,14738
2022-03-25,6606
2022-03-26,12459
2022-03-27,10718
2022-03-28,10484
2022-03-29,6603
2022-03-30,6598
2022-03-31,6055
2022-04-01,13760
2022-04-02,5048
2022-04-03,4030
2022-04-04,8952
2022-04-05,7655
2022-04-06,4655
2022-04-07,9910
2022-04-08,10037
2022-04-09,5079
2022-04-10,9281
2022-04-11,11679
2022-04-12,9799
2022-04-13,8485
2022-04-14,9013
2022-04-15,11029
2022-04-16,12273
2022-04-17,6456
2022-04-18,10013
2022-04-19,6155
2022-04-20,7670
2022-04-21,21373
2022-04-22,23388
2022-04-23,23478
2022-04-24,22517
2022-04-25,13449
2022-04-26,6442
2022-04-27,12179
2022-04-28,9465
2022-04-29,10355
2022-04-30,8550
2022-05-01,6283
2022-05-02,11432
2022-05-03,6532
2022-05-04,11467
2022-05-05,9897
2022-05-06,6527
2022-05-07,10537
2022-05-08,4551
2022-05-09,10305
2022-05-10,4811
2022-05-11,10530
2022-05-12,13016
2022-05-13,6854
2022-05-14,9430
2022-05-15,7826
2022-05-16,7657
2022-05-17,9061
2022-05-18,8096
2022-05-19,11794
2022-05-20,10532
2022-05-21,8614
2022-05-22,8352
2022-05-23,15359
2022-05-24,5900
2022-05-25,6510
2022-05-26,5615
2022-05-27,10009
2022-05-28,5943
2022-05-29,6161
2022-05-30,11781
2022-05-31,4200
2022-06-01,3823
2022-06-02,6045
2022-06-03,5624
2022-06-04,6365
2022-06-05,14057
2022-06-06,5110
2022-06-07,6350
2022-06-08,3306
2022-06-09,5832
2022-06-10,4228
2022-06-11,8024
2022-06-12,4927
2022-06-13,4392
2022-06-14,7827
2022-06-15,8905
2022-06-16,10136
2022-06-17,6496
